"","variable","type","CV","name"
"1","SLA","cv.year",68.9925107507881,"Year"
"2","LMA","cv.year",116.298862958973,"Year"
"3","LDMC","cv.year",6.70781158032965,"Year"
"4","N","cv.year",6.60182468703375,"Year"
"5","C","cv.year",1.79784793853288,"Year"
"6","Al","cv.year",21.3086607058496,"Year"
"7","Ca","cv.year",11.036714847161,"Year"
"8","K","cv.year",12.9316038270365,"Year"
"9","Mg","cv.year",15.9119455211104,"Year"
"10","Mn","cv.year",16.9601795326462,"Year"
"11","Na","cv.year",59.3179528678822,"Year"
"12","P","cv.year",10.2910106212926,"Year"
"13","Sr","cv.year",244.696291483337,"Year"
"14","S","cv.year",25.8875509178424,"Year"
"15","C.N","cv.year",6.60122134332589,"Year"
"16","N.P","cv.year",2.09068607506107,"Year"
"17","SLA","cv.sp",63.7247899280144,"Species"
"18","LMA","cv.sp",76.6441716331506,"Species"
"19","LDMC","cv.sp",6.97772174576355,"Species"
"20","N","cv.sp",13.9153375674898,"Species"
"21","C","cv.sp",31.3706847230431,"Species"
"22","Al","cv.sp",32.2296697530084,"Species"
"23","Ca","cv.sp",25.0464780540318,"Species"
"24","K","cv.sp",32.1110150937707,"Species"
"25","Mg","cv.sp",34.1753756877176,"Species"
"26","Mn","cv.sp",34.6547579842906,"Species"
"27","Na","cv.sp",34.3993924274998,"Species"
"28","P","cv.sp",16.4789279567249,"Species"
"29","Sr","cv.sp",91.9835743395541,"Species"
"30","S","cv.sp",38.4808058469053,"Species"
"31","C.N","cv.sp",34.9685338610338,"Species"
"32","N.P","cv.sp",16.036458364296,"Species"
"33","SLA","cv.sta",30.7458233156107,"Stand"
"34","LMA","cv.sta",44.9359818388708,"Stand"
"35","LDMC","cv.sta",5.42551894916446,"Stand"
"36","N","cv.sta",8.36917541932876,"Stand"
"37","C","cv.sta",1.23166251699824,"Stand"
"38","Al","cv.sta",23.1556086445433,"Stand"
"39","Ca","cv.sta",13.5203795050131,"Stand"
"40","K","cv.sta",11.0032158621112,"Stand"
"41","Mg","cv.sta",17.3389574642434,"Stand"
"42","Mn","cv.sta",21.9194649130827,"Stand"
"43","Na","cv.sta",27.4130230749888,"Stand"
"44","P","cv.sta",7.0741042414414,"Stand"
"45","Sr","cv.sta",37.6960767793095,"Stand"
"46","S","cv.sta",8.6439163270743,"Stand"
"47","C.N","cv.sta",9.10615874464333,"Stand"
"48","N.P","cv.sta",8.08898775051416,"Stand"
"49","SLA","cv.plot",5.77815996470843,"Plot"
"50","LMA","cv.plot",6.84684226991871,"Plot"
"51","LDMC","cv.plot",3.18205404654259,"Plot"
"52","N","cv.plot",1.47502353790295,"Plot"
"53","C","cv.plot",0.978724516297096,"Plot"
"54","Al","cv.plot",6.21083737033592,"Plot"
"55","Ca","cv.plot",9.29531191156293,"Plot"
"56","K","cv.plot",2.12903114768375,"Plot"
"57","Mg","cv.plot",3.95134335156949,"Plot"
"58","Mn","cv.plot",7.38996504895089,"Plot"
"59","Na","cv.plot",4.1839256206137,"Plot"
"60","P","cv.plot",4.13200237345717,"Plot"
"61","Sr","cv.plot",56.5254750300143,"Plot"
"62","S","cv.plot",6.71611460963947,"Plot"
"63","C.N","cv.plot",1.3389156357701,"Plot"
"64","N.P","cv.plot",5.13772247701643,"Plot"
"65","SLA","cv.site",3.87535758810831,"Site"
"66","LMA","cv.site",3.6826037585915,"Site"
"67","LDMC","cv.site",1.09809246730079,"Site"
"68","N","cv.site",4.84893626097192,"Site"
"69","C","cv.site",1.39302184276624,"Site"
"70","Al","cv.site",16.7575057196429,"Site"
"71","Ca","cv.site",16.2997744862917,"Site"
"72","K","cv.site",11.7226514374032,"Site"
"73","Mg","cv.site",6.52414150092693,"Site"
"74","Mn","cv.site",16.6049663791974,"Site"
"75","Na","cv.site",29.4062499474663,"Site"
"76","P","cv.site",4.03844707842396,"Site"
"77","Sr","cv.site",8.41015005195956,"Site"
"78","S","cv.site",5.87588408238387,"Site"
"79","C.N","cv.site",6.4013085560143,"Site"
"80","N.P","cv.site",1.48388481029095,"Site"
"81","SLA","cv.tree",80.0050088377096,"Tree"
"82","LMA","cv.tree",87.614484570857,"Tree"
"83","LDMC","cv.tree",17.2663134710828,"Tree"
"84","N","cv.tree",19.3531269360693,"Tree"
"85","C","cv.tree",4.57065380812247,"Tree"
"86","Al","cv.tree",61.8690278516095,"Tree"
"87","Ca","cv.tree",32.2920660892001,"Tree"
"88","K","cv.tree",30.7706908565985,"Tree"
"89","Mg","cv.tree",38.6558523913944,"Tree"
"90","Mn","cv.tree",55.8170051609147,"Tree"
"91","Na","cv.tree",86.4895008758352,"Tree"
"92","P","cv.tree",26.0675839316076,"Tree"
"93","Sr","cv.tree",114.766155659766,"Tree"
"94","S","cv.tree",34.3872774370636,"Tree"
"95","C.N","cv.tree",18.5463034056397,"Tree"
"96","N.P","cv.tree",21.4841361235585,"Tree"
"97","SLA","cv.treat",3.20854581142272,"Treatment"
"98","LMA","cv.treat",5.09846261304076,"Treatment"
"99","LDMC","cv.treat",3.58806783290872,"Treatment"
"100","N","cv.treat",7.03282489016444,"Treatment"
"101","C","cv.treat",0.799880078663636,"Treatment"
"102","Al","cv.treat",6.42674317016814,"Treatment"
"103","Ca","cv.treat",13.2476535939799,"Treatment"
"104","K","cv.treat",3.53627420467708,"Treatment"
"105","Mg","cv.treat",4.48714289138023,"Treatment"
"106","Mn","cv.treat",8.45680486557962,"Treatment"
"107","Na","cv.treat",7.99976989636754,"Treatment"
"108","P","cv.treat",18.4696376174158,"Treatment"
"109","Sr","cv.treat",14.3965128385668,"Treatment"
"110","S","cv.treat",2.24171887170177,"Treatment"
"111","C.N","cv.treat",6.48142753263013,"Treatment"
"112","N.P","cv.treat",18.6508157459263,"Treatment"
